Depth1 (모듈),Depth2 (화면/페이지),Depth3 (섹션),Depth4 (기능 단위),Depth5 (세부 항목),Action,진입 경로,비고
전역 UI,모니터링 범위 선택,범위 검색,검색 입력창,고객사 / BIS 그룹 / 개별 BIS 단말 검색,조회,헤더 상단 고정,"검색 기준: 이름 / 지역 / 코드
※ 검색 정책 정의 필요"
,,고객사 리스트,전체 고객사 선택,,조회,,선택 시 서비스 전반 단말 목록이 해당 고객사 기준 필터링
,,,특정 고객사 / 그룹 선택,,조회,,선택된 고객사 / 그룹의 단말만 전체 목록에 표시
공통 / 인증,로그인,입력 폼,아이디 입력,,인증,직접 URL 접근 시 리다이렉트,
,,,비밀번호 입력,,인증,,
,,,자동 로그인 여부 입력,,인증,,
,,,로그인 버튼,,인증,,
,,오류 처리,아이디 오류 메시지,,인증,,"아이디가 존재하지 않는 경우
※ 상세 정의 필요"
,,,아이디 / 비밀번호 불일치 메시지,,인증,,※ 상세 정의 필요
,,세션 관리,세션 만료 처리,,인증,,"30분 비활성 시 자동 로그아웃
만료 안내 후 로그인 페이지로 이동"
대시보드,,KPI,정류장 운영 현황,전체 운영 정류장 수,조회,,
,,,,정상 운영 정류장 수,조회,,
,,,,일부 이상 정류장 수,조회,,
,,,,이상 정류장 수,조회,,
,,지도,정류장 핀,정류장명,조회,,
,,,,고객사명,조회,,
,,,,정류장 단말 운영 상태,조회,,
,,탐색 리스트,view 설정,고객사 리스트,조회,,
,,,,정류장 리스트,조회,,
,,,고객사 별 현황,고객사명,조회,view 설정> 고객사 리스트 선택,
,,,고객사 별 현황,정류장 운영 현황,조회,,
,,,,정류장 단말 운영 현황,조회,,
,,,,단말 수,조회,,
,,,,단말 별 운영 현황,조회,,
,,,정류장별 현황,정류장명,조회,,
,,,,고객사,조회,,
,,,,공동 운영자,조회,,
,,,,정류장 운영 상태,조회,,
,,,,단말 수,조회,,
,,상세 패널,고객사 상세,고객사명,조회,,
,,,,정류장 수 요약,조회,,
,,,,단말 수 요약,조회,,
,,,,정류장 목록,조회,,
,,,,정류장 ,조회,,
,,,,,조회,,
원격 관리 (RMS),통합 모니터링,View 설정,View 전환 토글,정류장 단위,조회,사이드바 > 원격 관리 > BIS 단말 모니터링,
,,,,단말 단위,조회,,
,,정류장 단위 — 현황 요약,정류장 운영 현황 요약,전체 운영 정류장 수,조회,,"정류장과 단말이 매핑되어있고, 정류장 운영일이 도달한 정류장"
,,,,오프라인 정류장 수,조회,,OFFLINE 상태 단말이 있는 정류장
,,,,장애 정류장 수,조회,,장애 알람이 1개라도 있는 단말이 있는 정류장
,,,,경고 정류장 수,조회,,WARNING 상태 단말이 있는 정류장
,,,,주의 정류장 수,조회,,CAUTION 상태 단말이 있는 정류장
,,,,정상 정류장 수,조회,,NORMAL 상태
,,,,정상 운영 정류장 비율 (%),조회,,
,,정류장 단위 — 지도,정류장 위치 핀,좌표 기반 핀 표시,조회,,
,,,,핀 색상 (정류장 운영 현황 반영),조회,,BIS 단말 운영 상태 중 최고 단계 표시
,,,정류장 선택 시,정류장명 표시,조회,,
,,,,정류장 운영 현황 표시,조회,,
,,,,BIS 단말 목록 표시,조회,,단말 수 / 상태별 요약
,,정류장 단위 — 정류장 목록,정류장 항목,정류장명,조회,,
,,,,고객사,조회,,
,,,,단말 운영 현황,조회,,단말 상태 중 최고 단계
,,,,정류장 운영 상태,조회,,미운영/ 운영: 운영 시간에 대해서 제공
,,,,BIS 단말 상태별 기기 수 (전체/ 정상/ 경고/ 장애/ 오프라인),조회,,정류장에 속한 단말들의 집계 상태
,,정류장 단위- 정류장 세부 패널,정류장 기본 정보,정류장명,조회,정류장 선택시 우측 슬라이드 패널,
,,,,고객사,조회,,
,,,,정류장 운영 시간,조회,,첫차 시간-막차시간
,,,,정류장 운영 상태,조회,,미운영/ 운영
,,,,BIS 단말 수 (전체 / 정상 / 이상),조회,,"정류장은 가장 위험한 단말 상태를 대표값으로 보여주고, 상세에서는 단말 분포를 함께 제공한다."
,,,,기상 정보,조회,,"온습도/ 날씨 (맑음, 흐림, 비, 눈 등). 기상청 정보 제공"
,,,단말 목록,단말 코드,조회,,
,,,,단말 SOC 단계,조회,,태양광 단말만 해당
,,,,단말 운영 상태,조회,,
,,,,장애 알람 갯수,조회,,
,,,,마지막 통신 시각,조회,,
,,단말 단위 — 현황 요약,단말 상태별 수,오프라인 단말 수,조회,,
,,,,장애 단말 수,조회,,
,,,,경고 단말 수,조회,,
,,,,주의 단말 수,조회,,
,,,,정상 단말 수,조회,,
,,,SOC 단계별 수,치명 단말 수,조회,,태양광 단말만 해당
,,,,저하 단말 수,조회,,
,,,,정상 단말 수,조회,,
,,단말 단위 — 단말 목록,검색,단말 ID / 정류장명 / 노선 검색,조회,,
,,,필터,고객사 필터,조회,,전역 고객사 선택 시 자동 적용; 목록 내 재변경 가능
,,,,그룹 필터 (고객사 하위),조회,,
,,,,단말 상태 필터,조회,,오프라인/ 위험/ 주의/ 정상
,,,,전원 타입 필터,조회,,태양광 / 상시전원
,,,,필터 초기화 버튼,조회,,
,,,단말 항목,정류장명,조회,,
,,,,단말 ID,조회,,
,,,,단말 운영 상태,조회,,
,,,,고객사명,조회,,
,,,,전원 타입,조회,,
,,,,SOC 상태,조회,,태양광 단말만 해당
,,,,마지막 통신 시간,조회,,
,,,,장애 발생 건수,조회,,
,,,헤더,총 단말 수 표시,조회,,
,,,,목록 조회 형태 선택,조회,,
,,단말 세부정보 패널,헤더,정류장명,조회,단말 클릭 시 우측 슬라이드 패널,
,,,,단말 ID,조회,,
,,,,정류장 운영 상태,조회,,운영 시간에 따른 운영 / 미운영
,,,,단말 운영 상태,조회,,미운영/운영
,,,현황판,운영 상태,조회,,정상 / 주의 / 경고 / 장애 / 오프라인
,,,,SOC 단계,조회,,
,,,,활성 장애 수,조회,,
,,,단말 기본 정보,지역,조회,,
,,,,그룹,조회,,
,,,,고객사,조회,,
,,,,설치일,조회,,
,,,,앱 버전,조회,,Updater / Agent 버전 표시
,,,단말 상태,마지막 통신 일시,조회,,
